Sale_ID,Month,Region,Product,Units_Sold,Unit_Price,Unit_Cost,Revenue,Profit,Profit_Margin_%
1,Dec,Dubai,Enterprise Software,18,640.81,278.68,11534.5,6518.32,56.5
2,Feb,Dubai,Security Package,38,959.46,390.93,36459.45,21604.07,59.3
3,Sep,Abu Dhabi,Cloud Storage,39,247.76,111.42,9662.83,5317.36,55.0
4,Apr,Riyadh,CRM Platform,29,1260.68,759.38,36559.67,14537.67,39.8
5,Dec,Dubai,Cloud Storage,28,812.45,356.56,22748.63,12764.94,56.1
6,Feb,Sharjah,Enterprise Software,25,374.09,228.9,9352.24,3629.85,38.8
7,Jan,Riyadh,Analytics Suite,47,1026.96,442.83,48267.34,27454.15,56.9
8,Sep,Ajman,Enterprise Software,19,1692.93,938.95,32165.64,14325.61,44.5
9,Apr,Sharjah,Security Package,46,325.2,183.84,14959.17,6502.51,43.5
10,Apr,Sharjah,Enterprise Software,7,884.23,453.92,6189.59,3012.15,48.7
11,Jun,Sharjah,Cloud Storage,23,577.11,269.36,13273.59,7078.22,53.3
12,Nov,Dubai,Security Package,11,1161.45,535.66,12775.97,6883.66,53.9
13,May,Ajman,CRM Platform,41,1438.69,654.47,58986.35,32153.24,54.5
14,Apr,Sharjah,Enterprise Software,3,1649.08,825.02,4947.25,2472.18,50.0
15,Oct,Dubai,Cloud Storage,46,766.42,432.15,35255.33,15376.27,43.6
16,Mar,Ajman,CRM Platform,17,451.33,264.59,7672.69,3174.6,41.4
17,Dec,Riyadh,Analytics Suite,38,971.18,530.15,36904.87,16759.12,45.4
18,Mar,Sharjah,Cloud Storage,33,1088.33,640.97,35914.84,14762.96,41.1
19,Nov,Dubai,Cloud Storage,11,1625.74,821.88,17883.17,8842.51,49.4
20,Jul,Dubai,CRM Platform,39,1993.02,1060.84,77727.72,36354.92,46.8
21,Nov,Riyadh,Enterprise Software,47,406.19,252.33,19091.08,7231.76,37.9
22,Feb,Sharjah,Analytics Suite,19,982.58,504.49,18668.97,9083.74,48.7
23,Mar,Sharjah,Security Package,33,1842.73,1138.12,60810.09,23251.98,38.2
24,Oct,Sharjah,Security Package,13,475.11,280.61,6176.44,2528.46,40.9
25,Jan,Riyadh,Security Package,39,783.48,317.21,30555.76,18184.67,59.5
26,Apr,Sharjah,Analytics Suite,4,633.57,343.29,2534.28,1161.11,45.8
27,Dec,Dubai,Enterprise Software,32,1668.84,1075.56,53402.94,18984.95,35.6
28,Mar,Riyadh,Cloud Storage,43,1055.51,567.28,45386.86,20993.65,46.3
29,Oct,Sharjah,Security Package,28,1935.85,1223.9,54203.89,19934.65,36.8
30,Jul,Abu Dhabi,Analytics Suite,43,1369.78,697.94,58900.56,28889.25,49.0
31,Feb,Riyadh,CRM Platform,16,604.46,292.87,9671.28,4985.34,51.5
32,Apr,Riyadh,Security Package,38,596.39,249.14,22662.87,13195.49,58.2
33,Feb,Dubai,Cloud Storage,3,1747.34,729.89,5242.03,3052.36,58.2
34,Nov,Abu Dhabi,Analytics Suite,32,585.63,253.62,18740.04,10624.14,56.7
35,Aug,Riyadh,Security Package,16,1612.31,970.41,25797.04,10270.47,39.8
36,Feb,Abu Dhabi,Enterprise Software,43,975.89,493.7,41963.36,20734.32,49.4
37,Nov,Ajman,Enterprise Software,42,1971.5,837.11,82802.89,47644.41,57.5
38,Feb,Ajman,Analytics Suite,16,544.86,291.0,8717.79,4061.87,46.6
39,Mar,Abu Dhabi,CRM Platform,18,1032.73,638.87,18589.15,7089.5,38.1
40,Sep,Dubai,CRM Platform,7,291.06,189.14,2037.41,713.46,35.0
41,Apr,Dubai,Enterprise Software,11,931.55,484.72,10247.0,4915.08,48.0
42,Mar,Ajman,Enterprise Software,25,203.88,101.45,5096.99,2560.7,50.2
43,Jul,Ajman,Analytics Suite,45,1923.17,1247.86,86542.73,30388.99,35.1
44,Mar,Riyadh,CRM Platform,13,734.07,471.41,9542.96,3414.69,35.8
45,Jan,Riyadh,Security Package,48,764.49,315.38,36695.46,21557.27,58.7
46,Sep,Ajman,Security Package,11,302.38,159.34,3326.22,1573.44,47.3
47,Oct,Abu Dhabi,Enterprise Software,5,1415.38,649.38,7076.91,3830.02,54.1
48,Apr,Dubai,Security Package,38,1270.13,704.73,48265.11,21485.44,44.5
49,Oct,Ajman,Security Package,34,769.47,357.95,26161.83,13991.57,53.5
50,May,Sharjah,Cloud Storage,26,435.58,244.52,11325.1,4967.47,43.9
51,Feb,Ajman,Analytics Suite,1,1024.91,665.8,1024.91,359.12,35.0
52,Sep,Dubai,Enterprise Software,14,1110.59,481.01,15548.29,8814.11,56.7
53,Apr,Sharjah,Enterprise Software,24,712.98,363.29,17111.46,8392.38,49.0
54,Oct,Riyadh,Analytics Suite,42,1152.09,653.2,48387.92,20953.62,43.3
55,Nov,Riyadh,Analytics Suite,7,1890.07,819.48,13230.52,7494.13,56.6
56,Dec,Dubai,Enterprise Software,36,479.81,225.72,17273.02,9147.12,53.0
57,Apr,Abu Dhabi,Analytics Suite,44,1341.63,625.19,59031.65,31523.14,53.4
58,Jan,Ajman,Analytics Suite,6,1341.71,814.87,8050.27,3161.04,39.3
59,Jun,Dubai,Enterprise Software,50,435.48,280.86,21773.77,7730.79,35.5
60,Sep,Abu Dhabi,CRM Platform,46,969.84,390.28,44612.48,26659.64,59.8
61,Sep,Dubai,Cloud Storage,3,1702.27,928.81,5106.81,2320.4,45.4
62,Mar,Abu Dhabi,CRM Platform,3,754.87,471.6,2264.6,849.8,37.5
63,Apr,Dubai,Analytics Suite,44,649.15,276.34,28562.76,16403.64,57.4
64,Oct,Riyadh,CRM Platform,48,478.2,302.44,22953.41,8436.06,36.8
65,Jul,Abu Dhabi,Cloud Storage,2,522.85,329.98,1045.7,385.74,36.9
66,May,Ajman,Cloud Storage,11,1617.27,690.61,17790.02,10193.25,57.3
67,Apr,Dubai,CRM Platform,13,1669.86,860.1,21708.13,10526.8,48.5
68,Apr,Sharjah,Cloud Storage,2,1388.06,693.5,2776.12,1389.12,50.0
69,May,Sharjah,Enterprise Software,23,1354.67,677.22,31157.34,15581.18,50.0
70,Jan,Riyadh,Analytics Suite,8,1778.67,827.62,14229.35,7608.38,53.5
71,Jan,Riyadh,Analytics Suite,7,1273.83,619.62,8916.8,4579.47,51.4
72,Oct,Sharjah,CRM Platform,33,408.16,255.05,13469.36,5052.68,37.5
73,Jan,Abu Dhabi,Analytics Suite,46,984.9,521.98,45305.56,21294.52,47.0
74,Jun,Riyadh,Cloud Storage,28,325.95,184.51,9126.68,3960.44,43.4
75,Jun,Sharjah,Security Package,43,1726.43,1001.22,74236.38,31183.84,42.0
76,May,Sharjah,Security Package,43,935.11,468.11,40209.61,20080.68,49.9
77,Mar,Sharjah,Security Package,13,956.8,607.66,12438.44,4538.9,36.5
78,Oct,Abu Dhabi,Security Package,20,930.94,566.41,18618.71,7290.5,39.2
79,Apr,Sharjah,Analytics Suite,28,1614.37,890.59,45202.24,20265.73,44.8
80,Aug,Sharjah,CRM Platform,29,1416.13,747.42,41067.74,19392.45,47.2
81,May,Abu Dhabi,Enterprise Software,33,1394.94,773.93,46032.92,20493.16,44.5
82,Nov,Dubai,Cloud Storage,20,604.35,271.83,12087.06,6650.51,55.0
83,Apr,Dubai,Enterprise Software,31,1300.29,769.93,40309.09,16441.18,40.8
84,Nov,Ajman,CRM Platform,37,549.98,315.74,20349.39,8667.04,42.6
85,Apr,Ajman,CRM Platform,10,1380.9,554.28,13809.04,8266.28,59.9
86,Apr,Dubai,CRM Platform,12,1647.4,945.57,19768.77,8421.93,42.6
87,Sep,Ajman,Enterprise Software,16,1851.45,796.75,29623.14,16875.13,57.0
88,Nov,Abu Dhabi,CRM Platform,34,1978.21,1085.76,67259.02,30343.03,45.1
89,Dec,Ajman,Security Package,33,968.13,606.74,31948.4,11925.9,37.3
90,Dec,Ajman,Cloud Storage,31,1010.13,593.9,31313.89,12903.07,41.2
91,Aug,Sharjah,Security Package,41,630.64,321.61,25856.34,12670.43,49.0
